Participant_ID,Role,Pair_ID,Condition,Familiarity_num,Agr_mean,MeanAgr_z,Ext_mean,MeanExt_z,SD_mean,MeanSD_z,BA_mean,MeanBA_z
F1,Follow,L1F1,Closed Leading,3,3.0,-0.9384356103005075,2.5,-0.541828369182877,5.666666666666667,-0.5448818709096024,4.5,-1.0603842302293374
F1,Follow,L1F1,Open Leading,3,3.0,-0.9384356103005075,2.5,-0.541828369182877,5.666666666666667,-0.5448818709096024,4.5,-1.0603842302293374
F10,Follow,L10F10,Closed Leading,1,4.0,0.3485617981116173,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,5.5,0.18104121003915474
F10,Follow,L10F10,Open Leading,1,4.0,0.3485617981116173,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,5.5,0.18104121003915474
F10,Follow,L9F10,Closed Leading,1,4.0,0.3485617981116173,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,5.5,0.18104121003915474
F10,Follow,L9F10,Open Leading,1,4.0,0.3485617981116173,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,5.5,0.18104121003915474
F11,Follow,L11F11,Closed Leading,2,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.833333333333333,-0.27800095454571566,4.5,-1.0603842302293374
F11,Follow,L11F11,Open Leading,2,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.833333333333333,-0.27800095454571566,4.5,-1.0603842302293374
F11,Follow,L12F11,Closed Leading,1,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.833333333333333,-0.27800095454571566,4.5,-1.0603842302293374
F11,Follow,L12F11,Open Leading,1,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.833333333333333,-0.27800095454571566,4.5,-1.0603842302293374
F12,Follow,L12F12,Closed Leading,2,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.166666666666667,-1.3455246200012654,6.0,0.8017539301734008
F12,Follow,L12F12,Open Leading,2,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.166666666666667,-1.3455246200012654,6.0,0.8017539301734008
F12,Follow,L11F12,Closed Leading,3,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.166666666666667,-1.3455246200012654,6.0,0.8017539301734008
F12,Follow,L11F12,Open Leading,3,3.5,-0.29493690609444506,2.5,-0.541828369182877,5.166666666666667,-1.3455246200012654,6.0,0.8017539301734008
F2,Follow,L2F2,Closed Leading,5,4.5,0.9920605023176797,5.0,1.4900280152529122,7.0,1.5901654600014985,7.0,2.043179370441893
F2,Follow,L2F2,Open Leading,5,4.5,0.9920605023176797,5.0,1.4900280152529122,7.0,1.5901654600014985,7.0,2.043179370441893
F2,Follow,L1F2,Closed Leading,1,4.5,0.9920605023176797,5.0,1.4900280152529122,7.0,1.5901654600014985,7.0,2.043179370441893
F2,Follow,L1F2,Open Leading,1,4.5,0.9920605023176797,5.0,1.4900280152529122,7.0,1.5901654600014985,7.0,2.043179370441893
F3,Follow,L3F3,Closed Leading,5,4.0,0.3485617981116173,3.5,0.2709141845914387,5.833333333333333,-0.27800095454571566,5.166666666666667,-0.23276727005034226
F3,Follow,L3F3,Open Leading,5,4.0,0.3485617981116173,3.5,0.2709141845914387,5.833333333333333,-0.27800095454571566,5.166666666666667,-0.23276727005034226
F3,Follow,L4F3,Closed Leading,1,4.0,0.3485617981116173,3.5,0.2709141845914387,5.833333333333333,-0.27800095454571566,5.166666666666667,-0.23276727005034226
F3,Follow,L4F3,Open Leading,1,4.0,0.3485617981116173,3.5,0.2709141845914387,5.833333333333333,-0.27800095454571566,5.166666666666667,-0.23276727005034226
F4,Follow,L4F4,Closed Leading,1,1.5,-2.8689317229186946,4.0,0.6772854614785966,6.333333333333333,0.5226417945459473,6.5,1.4224666503076469
F4,Follow,L4F4,Open Leading,1,1.5,-2.8689317229186946,4.0,0.6772854614785966,6.333333333333333,0.5226417945459473,6.5,1.4224666503076469
F4,Follow,L3F4,Closed Leading,3,1.5,-2.8689317229186946,4.0,0.6772854614785966,6.333333333333333,0.5226417945459473,6.5,1.4224666503076469
F4,Follow,L3F4,Open Leading,3,1.5,-2.8689317229186946,4.0,0.6772854614785966,6.333333333333333,0.5226417945459473,6.5,1.4224666503076469
F5,Follow,L5F5,Closed Leading,3,3.0,-0.9384356103005075,4.5,1.0836567383657543,6.5,0.7895227109098354,5.833333333333333,0.5948496901286517
F5,Follow,L5F5,Open Leading,3,3.0,-0.9384356103005075,4.5,1.0836567383657543,6.5,0.7895227109098354,5.833333333333333,0.5948496901286517
F6,Follow,L6F6,Closed Leading,1,4.0,0.3485617981116173,3.0,-0.13545709229571917,6.5,0.7895227109098354,5.333333333333333,-0.025863030005594322
F6,Follow,L6F6,Open Leading,1,4.0,0.3485617981116173,3.0,-0.13545709229571917,6.5,0.7895227109098354,5.333333333333333,-0.025863030005594322
F7,Follow,L7F7,Closed Leading,3,3.5,-0.29493690609444506,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,3.6666666666666665,-2.094905430453081
F7,Follow,L7F7,Open Leading,3,3.5,-0.29493690609444506,5.0,1.4900280152529122,6.833333333333333,1.3232845436376102,3.6666666666666665,-2.094905430453081
